ticker,name,sector,industry,city,state,market_cap_cr,revenue_cr,profit_cr,revenue_growth_yoy,pe,eps,roe_pct,debt_to_equity,dividend_yield_pct
DGCONTENT.NS,Digicontent Limited,Communication Services,Internet Content & Information,New Delhi,Unknown,157.2987904,442.16,24.31,6.711717147339207,25.81905,1.05,,2.7552800000000004,
CENTEXT.NS,Century Extrusions Limited,Basic Materials,Aluminum,Kolkata,Unknown,156.64,431.25,9.94,14.969341508930953,14.721804,1.33,,0.63677,
DCM.NS,DCM Limited,Industrials,Metal Fabrication,Delhi,Unknown,153.082816,68.7746,21.9167,2.2398499135546075,28.757895,2.85,,0.0273,
ALPA.NS,Alpa Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Indore,Unknown,146.8212992,111.6348,19.5031,3.4436171740711745,12.641304,5.52,,,
ALPHAGEO.NS,Alphageo (India) Limited,Energy,Oil & Gas Equipment & Services,Hyderabad,Unknown,146.1668736,125.6751,-6.1118,27.371303650716595,,-22.91,,,349.0
DTIL.NS,Dhunseri Tea & Industries Limited,Consumer Defensive,Packaged Foods,Kolkata,Unknown,138.8241152,432.8505,-20.0464,9.820423454479442,,-13.07,,0.42832000000000003,75.0
AVROIND.NS,Avro India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Ghaziabad,Unknown,135.7814528,78.3248,3.0422,-16.112538543347945,37.48148,0.27,,0.26816,
AARTECH.NS,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,Bhopal,Unknown,135.1829504,36.3522,2.7642,11.01908435412792,77.36363,0.55,,0.15972,28.999999999999996
CROWN.NS,Crown Lifters Limited,Industrials,Rental & Leasing Services,Mumbai,Unknown,133.8945024,35.0345,18.9801,24.67483016437313,14.5665455,8.19,12.745000000000001,0.7487,
CORALFINAC.NS,Coral India Finance and Housing Limited,Real Estate,Real Estate Services,Mumbai,Unknown,129.8537728,15.1737,17.4901,-25.3137828179912,9.000001,3.58,,,123.0
CUBEXTUB.NS,Cubex Tubings Limited,Basic Materials,Copper,Secunderabad,Unknown,128.4555264,267.1203,6.6586,20.983328124787697,15.308873,5.86,9.3660004,0.52119,
BSL.NS,BSL Limited,Consumer Cyclical,Textile Manufacturing,Kolkata,Unknown,126.8509696,657.805,8.1577,0.1734214430406194,34.816383,3.54,,3.66394,65.0
AIROLAM.NS,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Prantij,Unknown,126.256832,213.5181,2.7032,3.6875651027439673,46.755558,1.8,,1.17642,
BALPHARMA.NS,Bal Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Bengaluru,Unknown,124.6445056,303.0833,7.2154,-10.65277478070253,15.381139,5.09,,1.97725,156.0
AAATECH.NS,AAA Technologies Limited,Technology,Information Technology Services,Mumbai,Unknown,122.431808,25.4555,3.5103,6.980155161255075,38.80081,2.46,,,164.0
BCPL.NS,BCPL Railway Infrastructure Limited,Industrials,Infrastructure Operations,Kolkata,Unknown,121.1794816,160.8566,6.64,82.92899552959666,16.356659,4.43,,0.7222,
BTML.NS,Bodhi Tree Multimedia Limited,Communication Services,Entertainment,Mumbai,Unknown,117.0133632,89.0979,4.882,39.21742649506009,128.8,0.05,,0.3208,
COMPUSOFT.NS,Compucom Software Limited,Consumer Defensive,Education & Training Services,Jaipur,Unknown,104.4452416,33.6764,1.48,-52.10740011234917,38.82353,0.34,,0.32821,153.0
BAGFILMS.NS,B.A.G. Films and Media Limited,Communication Services,Broadcasting,Noida,Unknown,103.651328,135.9587,6.2087,3.105010226422163,22.681818,0.22,,0.6033,
ARTNIRMAN.NS,Art Nirman Limited,Real Estate,Real Estate - Development,Ahmedabad,Unknown,100.1234688,27.3852,1.9923,-20.135551304185526,78.666664,0.51,,0.52666,
BEARDSELL.NS,Beardsell Limited,Industrials,Building Products & Equipment,Chennai,Unknown,98.237568,268.35,9.83,9.552969993876301,11.022124,2.26,,0.36022,40.0
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited,Financial Services,Capital Markets,New Delhi,Unknown,98.2099968,12.671,3.1137,-18.947617555059455,31.52809,0.89,,0.03583,
BVCL.NS,Barak Valley Cements Limited,Basic Materials,Building Materials,Karimganj,Unknown,94.26864,206.5707,5.1668,-11.483002840144596,4254.0,0.01,,0.2858,
DIGJAMLMTD.NS,Digjam Limited,Consumer Cyclical,Textile Manufacturing,Mumbai,Unknown,93.74,18.1983,-10.6049,618.9877918691477,58.587498,0.8,,12.63899,
CINEVISTA.NS,Cinevista Limited,Communication Services,Entertainment,Mumbai,Unknown,90.5198848,11.5435,-31.6188,2520.544835414302,Infinity,0.0,,0.27129000000000003,
FIBERWEB.NS,Fiberweb (India) Limited,Consumer Cyclical,Textile Manufacturing,Mumbai,Unknown,90.2044288,101.0414341,15.0045,17.672440280130548,5.4486957,5.75,5.5219997,0.0645,
AMDIND.NS,AMD Industries Limited,Consumer Cyclical,Packaging & Containers,New Delhi,Unknown,86.2886976,273.6077,0.9991,-0.15111936349589705,,-2.9,,0.53424,
DIGIDRIVE.NS,Digidrive Distributors Limited,Consumer Cyclical,Internet Retail,Mumbai,Unknown,82.6314432,49.7846,7.9056,4.534154187279003,6.6501546,3.23,,0.00391,
ATAM.NS,Atam Valves Limited,Industrials,Specialty Industrial Machinery,Jalandhar,Unknown,81.2841344,60.408,6.2989,14.943097382346393,22.02174,3.22,,0.33533,124.0
ENERGYDEV.NS,Energy Development Company Limited,Utilities,Utilities - Regulated Electric,Kolkata,Unknown,79.7525056,32.7621,-97.2637,9.173883921877032,,-2.84,,15.007840000000002,
FMNL.NS,Future Market Networks Limited,Real Estate,Real Estate Services,Mumbai,Unknown,79.6827648,101.003,66.037,8.567319412764988,,-4.1,,1.60459,
ACCURACY.NS,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,Anjar,Unknown,78.8934336,946.063,4.652,33.563029504734395,30.823528,0.17,,1.11931,
BONLON.NS,Bonlon Industries Limited,Basic Materials,Other Industrial Metals & Mining,New Delhi,Unknown,76.4283648,618.7458,2.6905,44.33206747905275,32.172413,1.45,,0.49692000000000003,
BANARBEADS.NS,Banaras Beads Limited,Consumer Cyclical,Footwear & Accessories,Varanasi,Unknown,73.6609536,29.9308,3.0881,9.80959019701361,39.084507,2.84,,0.27474,340.0
AJOONI.NS,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,Mohali,Unknown,71.8255808,114.6919,3.372,43.159798588521944,20.85,0.2,5.514,0.11320999999999999,
DELTAMAGNT.NS,Delta Manufacturing Limited,Consumer Cyclical,Textile Manufacturing,Mumbai,Unknown,67.2877952,60.7058,-12.0894,-9.891003765810243,,-9.34,,3.08765,
DAMODARIND.NS,Damodar Industries Limited,Consumer Cyclical,Textile Manufacturing,Mumbai,Unknown,66.3350976,421.4354,5.4017,-41.08950930592945,7.3565893,3.87,3.682,1.133,
ALKALI.NS,Alkali Metals Limited,Basic Materials,Specialty Chemicals,Hyderabad,Unknown,65.860448,82.3103,-5.7998,0.006925493836310486,74.344826,0.87,,0.43986,79.0
ANMOL.NS,Anmol India Limited,Energy,Thermal Coal,Ludhiana,Unknown,65.2805312,1274.1116,6.9877,-15.087491210425757,6.302198,1.82,9.981,1.65862,
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,Consumer Cyclical,Leisure,Sonepat,Unknown,64.7392064,9.3369,9.5126,49.971088052940985,,-6.9,-2.095,0.02371,
AGRITECH.NS,Agri-tech (India) Limited,Consumer Defensive,Farm Products,Mumbai,Unknown,63.6411584,0.2781,-0.9408,54.328523862375135,,-1.45,,,
CTE.NS,Cambridge Technology Enterprises Limited,Technology,Information Technology Services,Hyderabad,Unknown,62.1607424,198.921065,-48.0621,-3.5429004376234983,,-4.88,,1.17654,
BALKRISHNA.NS,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging & Containers,Mumbai,Unknown,60.3149632,2.3236,8.1865,-32.26445895522388,,-1.89,,,
AGROPHOS.NS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,Indore,Unknown,60.1735744,65.5445,-7.6778,-8.739341587163679,11.967742,2.48,,0.37091999999999997,337.0
ADROITINFO.NS,Adroit Infotech Limited,Technology,Information Technology Services,Hyderabad,Unknown,52.4578816,31.7122,0.6883,27.5836820083682,19.913042,0.46,,0.29363,
BIOFILCHEM.NS,Biofil Chemicals and Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Indore,Unknown,51.8808736,33.4022,0.5578,-16.568128626487123,18.75294,1.7,,0.00094,
AHLADA.NS,Ahlada Engineers Limited,Industrials,Building Products & Equipment,Hyderabad,Unknown,50.7149248,131.9951,3.7056,-49.13814861382823,21.685083,1.81,,0.26993,386.0
AKI.NS,AKI India Limited,Consumer Cyclical,Footwear & Accessories,Kanpur,Unknown,50.1580928,78.0271,1.6778,12.190917129772748,12.7894745,0.38,2.9089997999999997,0.21381,
ARCHIES.NS,Archies Limited,Consumer Cyclical,Specialty Retail,New Delhi,Unknown,50.0619584,68.9024,-1.4629,-13.147651412782608,,-0.33,,0.33451000000000003,
BANG.NS,Bang Overseas Limited,Consumer Cyclical,Apparel Manufacturing,Mumbai,Unknown,50.00928,186.7342,-2.1722,42.04996778406882,9.6797905,3.81,,0.35295000000000004,
CELEBRITY.NS,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing,Chennai,Unknown,49.3794848,158.6,-18.26,-53.46926800645445,,-2.74,-104.20898999999999,6.0519799999999995,
DANGEE.NS,Dangee Dums Limited,Consumer Cyclical,Restaurants,Ahmedabad,Unknown,48.81008,26.8215,-0.5217,7.624371022494723,,-0.03,,1.21846,
AKASH.NS,Akash Infra-Projects Limited,Industrials,Engineering & Construction,Gandhinagar,Unknown,45.1410048,57.6311,0.8909,-3.178597888886835,18.852114,1.42,,1.02888,
ABMINTLLTD.NS,ABM International Limited,Basic Materials,Specialty Chemicals,New Delhi,Unknown,43.022784,80.1932,-1.3644,-14.363486278308097,,-4.58,,1.0945399999999998,
ADL.NS,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Bengaluru,Unknown,42.2478368,52.4045,0.0565,11.246619369684927,2530.0,0.03,,0.37099,
AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,Household & Personal Products,Chennai,Unknown,40.9165664,123.6158,0.4886,26.336455570715355,32.630135,0.73,,0.74724,
ASHOKAMET.NS,Ashoka Metcast Limited,Basic Materials,Steel,Ahmedabad,Unknown,40.1185792,38.9626,5.4852,-41.18772934273824,2.6528924,6.05,8.558,0.43156999999999995,
COUNCODOS.NS,Country Condo's Limited,Real Estate,Real Estate - Development,Hyderabad,Unknown,38.7986496,16.7069,0.5975,-34.02714431821323,71.42857,0.07,,0.00046,
AKSHAR.NS,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,Rajkot,Unknown,38.5859552,116.7691,-4.4481,-33.25767582654064,,-0.13,,0.0575,
AROGRANITE.NS,Aro Granite Industries Limited,Industrials,Building Products & Equipment,Hosur,Unknown,38.5100992,123.0905,-6.4228,-20.6353146591633,,-3.55,-6.5689996,0.8715,
AKG.NS,AKG Exim Limited,Industrials,Industrial Distribution,Gurugram,Unknown,35.5579872,132.6906,0.8582,-27.72559708223852,58.894737,0.19,1.171,0.15716,
DNAMEDIA.NS,Diligent Media Corporation Limited,Communication Services,Publishing,Noida,Unknown,35.1946976,13.1919,13.6185,35.96532816622691,29.9,0.1,,,
21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,Mumbai,Unknown,32.466,16.3247,12.3377,-53.297420082049285,,-21.38,,,
FLEXITUFF.NS,Flexituff Ventures International Limited,Consumer Cyclical,Textile Manufacturing,Indore,Unknown,23.0416096,261.424,237.854,-56.24922598028551,,-92.3,,,
